生まれ年,年代,体力年齢,性別,身長,tests
1982.0,40代男性,20~24,男,175.0,握力（右）
nan,40代男性,20~24,男,177.0,握力（右）
nan,40代男性,40~44,男,182.0,握力（右）
nan,40代男性,35~39,男,178.0,握力（右）
nan,40代男性,45~49,男,170.0,握力（右）
nan,40代男性,40~44,男,170.0,握力（右）
nan,40代男性,35~39,男,175.0,握力（右）
nan,40代男性,40~44,男,175.0,握力（右）
nan,40代男性,45~49,男,175.0,握力（右）
nan,30代男性,35~39,男,170.0,握力（右）
nan,30代男性,35~39,男,175.0,握力（右）
nan,30代男性,35~39,男,175.0,握力（右）
nan,30代男性,35~39,男,175.0,握力（右）
nan,30代男性,45~49,男,175.0,握力（右）
nan,30代男性,20~24,男,170.0,握力（右）
nan,30代男性,20~24,男,175.0,握力（右）
nan,30代男性,20~24,男,175.0,握力（右）
nan,30代男性,25~29,男,170.0,握力（右）
nan,30代男性,25~29,男,175.0,握力（右）
nan,30代男性,45~49,男,170.0,握力（右）
1983.0,30代男性,20~24,男,161.0,握力（右）
1983.0,30代男性,35~39,男,174.0,握力（右）
1983.0,30代男性,30~34,男,175.0,握力（右）
1984.0,30代男性,20~24,男,182.0,握力（右）
1985.0,30代男性,20~24,男,170.0,握力（右）
1985.0,30代男性,20~24,男,180.0,握力（右）
1985.0,30代男性,20~24,男,170.5,握力（右）
1986.0,30代男性,20~24,男,171.0,握力（右）
1986.0,30代男性,20~24,男,175.0,握力（右）
1987.0,30代男性,25~29,男,168.0,握力（右）
1988.0,30代男性,20~24,男,175.0,握力（右）
1988.0,30代男性,35~39,男,181.0,握力（右）
1988.0,30代男性,30~34,男,174.0,握力（右）
1988.0,30代男性,20~24,男,168.0,握力（右）
1989.0,30代男性,65~69,男,170.0,握力（右）
1989.0,30代男性,30~34,男,167.0,握力（右）
1990.0,30代男性,45~49,男,182.0,握力（右）
1990.0,30代男性,55~59,男,174.0,握力（右）
1991.0,30代男性,35~39,男,164.0,握力（右）
1991.0,30代男性,20~24,男,172.0,握力（右）
1991.0,30代男性,20~24,男,176.0,握力（右）
1992.0,30代男性,20~24,男,170.0,握力（右）
1992.0,30代男性,20~24,男,170.0,握力（右）
1992.0,30代男性,40~44,男,170.0,握力（右）
1992.0,30代男性,20~24,男,172.0,握力（右）
1993.0,20代男性,35~39,男,162.0,握力（右）
1993.0,20代男性,20~24,男,173.0,握力（右）
1993.0,20代男性,35~39,男,177.0,握力（右）
1994.0,20代男性,20~24,男,175.0,握力（右）
1994.0,20代男性,20~24,男,175.0,握力（右）
1994.0,20代男性,20~24,男,169.0,握力（右）
1994.0,20代男性,40~44,男,165.0,握力（右）
1994.0,20代男性,30~34,男,185.0,握力（右）
1995.0,20代男性,35~39,男,176.0,握力（右）
1995.0,20代男性,20~24,男,171.0,握力（右）
1995.0,20代男性,20~24,男,171.2,握力（右）
1995.0,20代男性,20~24,男,175.0,握力（右）
1995.0,20代男性,20~24,男,169.0,握力（右）
1996.0,20代男性,50~54,男,176.0,握力（右）
1996.0,20代男性,20~24,男,172.0,握力（右）
1996.0,20代男性,50~54,男,162.0,握力（右）
1996.0,20代男性,30~34,男,169.0,握力（右）
1996.0,20代男性,20~24,男,175.0,握力（右）
1997.0,20代男性,30~34,男,181.0,握力（右）
1999.0,20代男性,25~29,男,173.0,握力（右）
1999.0,20代男性,50~54,男,175.0,握力（右）
2000.0,20代男性,75~79,男,161.0,握力（右）
2000.0,20代男性,20~24,男,170.0,握力（右）
2000.0,20代男性,20~24,男,176.0,握力（右）
2001.0,20代男性,20~24,男,166.0,握力（右）
2001.0,20代男性,20~24,男,160.0,握力（右）
2001.0,20代男性,20~24,男,171.0,握力（右）
2005.0,10代男性,40~44,男,166.0,握力（右）
2008.0,10代男性,25~29,男,159.0,握力（右）
1963.0,50代女性,50~54,女,164.0,握力（右）
1963.0,50代女性,60~64,女,160.0,握力（右）
1964.0,50代女性,30~34,女,164.0,握力（右）
1965.0,50代女性,55~59,女,156.0,握力（右）
1965.0,50代女性,45~49,女,152.0,握力（右）
1965.0,50代女性,45~49,女,158.0,握力（右）
1965.0,50代女性,25~29,女,154.0,握力（右）
1965.0,50代女性,45~49,女,155.0,握力（右）
1965.0,50代女性,65~69,女,158.0,握力（右）
1966.0,50代女性,50~54,女,162.0,握力（右）
1966.0,50代女性,40~44,女,161.5,握力（右）
1967.0,50代女性,40~44,女,154.0,握力（右）
1967.0,50代女性,55~59,女,168.0,握力（右）
1967.0,50代女性,35~39,女,160.0,握力（右）
1967.0,50代女性,45~49,女,158.0,握力（右）
1967.0,50代女性,30~34,女,168.0,握力（右）
1967.0,50代女性,65~69,女,162.0,握力（右）
1967.0,50代女性,40~44,女,153.6,握力（右）
1968.0,50代女性,45~49,女,157.0,握力（右）
1968.0,50代女性,40~44,女,164.0,握力（右）
1969.0,50代女性,40~44,女,166.0,握力（右）
1969.0,50代女性,40~44,女,163.0,握力（右）
1969.0,50代女性,40~44,女,157.4,握力（右）
1969.0,50代女性,30~34,女,161.0,握力（右）
1969.0,50代女性,40~44,女,158.0,握力（右）
1969.0,50代女性,50~54,女,158.0,握力（右）
1969.0,50代女性,50~54,女,160.0,握力（右）
1969.0,50代女性,25~29,女,162.0,握力（右）
1970.0,50代女性,20~24,女,155.0,握力（右）
1970.0,50代女性,45~49,女,155.0,握力（右）
1970.0,50代女性,55~59,女,164.0,握力（右）
1970.0,50代女性,55~59,女,148.0,握力（右）
1970.0,50代女性,20~24,女,160.0,握力（右）
1970.0,50代女性,40~44,女,166.0,握力（右）
1970.0,50代女性,35~39,女,155.0,握力（右）
1970.0,50代女性,55~59,女,154.0,握力（右）
1970.0,50代女性,60~64,女,152.0,握力（右）
1970.0,50代女性,50~54,女,155.0,握力（右）
1970.0,50代女性,30~34,女,159.0,握力（右）
1970.0,50代女性,55~59,女,169.0,握力（右）
1970.0,50代女性,45~49,女,164.0,握力（右）
1970.0,50代女性,40~44,女,160.0,握力（右）
1971.0,50代女性,45~49,女,162.0,握力（右）
1971.0,50代女性,45~49,女,160.0,握力（右）
1971.0,50代女性,40~44,女,153.0,握力（右）
1971.0,50代女性,60~64,女,163.0,握力（右）
1971.0,50代女性,45~49,女,165.0,握力（右）
1971.0,50代女性,45~49,女,165.0,握力（右）
1971.0,50代女性,60~64,女,154.0,握力（右）
1971.0,50代女性,50~54,女,161.0,握力（右）
1971.0,50代女性,55~59,女,164.0,握力（右）
1971.0,50代女性,35~39,女,159.0,握力（右）
1971.0,50代女性,55~59,女,169.0,握力（右）
1971.0,50代女性,20~24,女,163.0,握力（右）
1971.0,50代女性,35~39,女,153.0,握力（右）
1971.0,50代女性,35~39,女,161.5,握力（右）
1971.0,50代女性,50~54,女,163.0,握力（右）
1971.0,50代女性,25~29,女,160.0,握力（右）
1971.0,50代女性,55~59,女,161.0,握力（右）
1972.0,50代女性,35~39,女,155.0,握力（右）
1972.0,50代女性,30~34,女,160.0,握力（右）
1972.0,50代女性,30~34,女,158.0,握力（右）
1972.0,50代女性,45~49,女,157.0,握力（右）
1972.0,50代女性,45~49,女,157.0,握力（右）
1972.0,50代女性,30~34,女,159.5,握力（右）
1972.0,50代女性,45~49,女,167.0,握力（右）
1972.0,50代女性,25~29,女,153.0,握力（右）
1972.0,50代女性,55~59,女,160.0,握力（右）
1972.0,50代女性,40~44,女,156.0,握力（右）
1972.0,50代女性,25~29,女,159.0,握力（右）
1972.0,50代女性,70~74,女,160.0,握力（右）
1972.0,50代女性,50~54,女,155.0,握力（右）
1972.0,50代女性,35~39,女,163.0,握力（右）
1972.0,50代女性,50~54,女,152.0,握力（右）
1972.0,50代女性,45~49,女,158.0,握力（右）
1972.0,50代女性,35~39,女,167.5,握力（右）
1972.0,50代女性,45~49,女,160.0,握力（右）
1972.0,50代女性,50~54,女,157.0,握力（右）
1973.0,40代女性,40~44,女,163.0,握力（右）
1973.0,40代女性,30~34,女,150.0,握力（右）
1973.0,40代女性,60~64,女,165.0,握力（右）
1973.0,40代女性,55~59,女,168.0,握力（右）
1973.0,40代女性,55~59,女,155.0,握力（右）
1973.0,40代女性,55~59,女,162.3,握力（右）
1973.0,40代女性,35~39,女,157.0,握力（右）
1973.0,40代女性,30~34,女,160.0,握力（右）
1973.0,40代女性,65~69,女,160.0,握力（右）
1973.0,40代女性,40~44,女,160.0,握力（右）
1973.0,40代女性,55~59,女,154.0,握力（右）
1973.0,40代女性,50~54,女,154.0,握力（右）
1973.0,40代女性,35~39,女,163.0,握力（右）
1974.0,40代女性,55~59,女,160.0,握力（右）
1974.0,40代女性,55~59,女,160.0,握力（右）
1974.0,40代女性,30~34,女,160.0,握力（右）
1974.0,40代女性,30~34,女,160.0,握力（右）
1974.0,40代女性,40~44,女,160.0,握力（右）
1974.0,40代女性,35~39,女,155.0,握力（右）
1974.0,40代女性,65~69,女,168.0,握力（右）
1974.0,40代女性,45~49,女,160.0,握力（右）
1974.0,40代女性,45~49,女,155.0,握力（右）
1974.0,40代女性,20~24,女,165.0,握力（右）
1974.0,40代女性,50~54,女,164.5,握力（右）
1974.0,40代女性,30~34,女,166.0,握力（右）
1974.0,40代女性,40~44,女,154.0,握力（右）
1975.0,40代女性,30~34,女,155.0,握力（右）
1975.0,40代女性,35~39,女,163.0,握力（右）
1975.0,40代女性,60~64,女,157.0,握力（右）
1975.0,40代女性,60~64,女,162.0,握力（右）
1975.0,40代女性,30~34,女,160.0,握力（右）
1975.0,40代女性,45~49,女,155.0,握力（右）
1975.0,40代女性,40~44,女,158.0,握力（右）
1975.0,40代女性,20~24,女,166.0,握力（右）
1976.0,40代女性,30~34,女,158.0,握力（右）
1976.0,40代女性,30~34,女,158.0,握力（右）
1976.0,40代女性,50~54,女,160.0,握力（右）
1976.0,40代女性,50~54,女,160.0,握力（右）
1976.0,40代女性,30~34,女,161.0,握力（右）
1977.0,40代女性,45~49,女,152.0,握力（右）
1977.0,40代女性,45~49,女,154.0,握力（右）
1977.0,40代女性,35~39,女,158.0,握力（右）
1977.0,40代女性,55~59,女,163.5,握力（右）
1977.0,40代女性,45~49,女,162.0,握力（右）
1978.0,40代女性,35~39,女,161.5,握力（右）
1978.0,40代女性,20~24,女,158.0,握力（右）
1978.0,40代女性,40~44,女,167.0,握力（右）
1978.0,40代女性,30~34,女,162.0,握力（右）
1978.0,40代女性,70~74,女,168.0,握力（右）
1978.0,40代女性,50~54,女,165.5,握力（右）
1979.0,40代女性,25~29,女,163.0,握力（右）
1979.0,40代女性,40~44,女,152.0,握力（右）
1979.0,40代女性,45~49,女,158.0,握力（右）
1980.0,40代女性,65~69,女,166.0,握力（右）
1980.0,40代女性,20~24,女,153.0,握力（右）
1981.0,40代女性,20~24,女,156.0,握力（右）
nan,40代女性,50~54,女,160.0,握力（右）
1982.0,40代女性,45~49,女,163.0,握力（右）
1983.0,40代女性,25~29,女,nan,握力（右）
1983.0,30代女性,20~24,女,158.0,握力（右）
1984.0,30代女性,30~34,女,162.0,握力（右）
1985.0,30代女性,20~24,女,157.0,握力（右）
1987.0,30代女性,25~29,女,164.0,握力（右）
1987.0,30代女性,20~24,女,160.0,握力（右）
1987.0,30代女性,FALSE,女,157.0,握力（右）
1988.0,30代女性,35~39,女,168.0,握力（右）
1988.0,30代女性,20~24,女,159.0,握力（右）
1989.0,30代女性,20~24,女,158.0,握力（右）
1989.0,30代女性,25~29,女,153.0,握力（右）
1989.0,30代女性,55~59,女,154.0,握力（右）
1990.0,30代女性,50~54,女,166.0,握力（右）
1990.0,30代女性,55~59,女,158.5,握力（右）
1990.0,30代女性,25~29,女,158.0,握力（右）
1991.0,30代女性,35~39,女,163.0,握力（右）
1992.0,30代女性,20~24,女,159.0,握力（右）
1992.0,30代女性,20~24,女,155.0,握力（右）
1992.0,30代女性,35~39,女,155.0,握力（右）
1992.0,30代女性,30~34,女,164.0,握力（右）
nan,30代女性,50~54,女,162.0,握力（右）
nan,30代女性,50~54,女,158.0,握力（右）
nan,30代女性,40~44,女,165.0,握力（右）
nan,30代女性,45~49,女,155.0,握力（右）
nan,30代女性,50~54,女,160.0,握力（右）
nan,30代女性,40~44,女,160.0,握力（右）
nan,30代女性,35~39,女,160.0,握力（右）
nan,30代女性,35~39,女,166.0,握力（右）
nan,30代女性,35~39,女,157.0,握力（右）
nan,30代女性,45~49,女,154.0,握力（右）
nan,30代女性,40~44,女,154.0,握力（右）
nan,30代女性,20~24,女,156.5,握力（右）
1993.0,20代女性,25~29,女,170.0,握力（右）
1993.0,20代女性,35~39,女,167.0,握力（右）
1993.0,20代女性,35~39,女,154.0,握力（右）
1994.0,20代女性,30~34,女,156.0,握力（右）
1994.0,20代女性,20~24,女,nan,握力（右）
1994.0,20代女性,45~49,女,151.0,握力（右）
1994.0,20代女性,25~29,女,168.0,握力（右）
1995.0,20代女性,35~39,女,166.0,握力（右）
1995.0,20代女性,45~49,女,155.0,握力（右）
1996.0,20代女性,30~34,女,152.6,握力（右）
1997.0,20代女性,30~34,女,156.0,握力（右）
1997.0,20代女性,40~44,女,161.0,握力（右）
1998.0,20代女性,30~34,女,148.0,握力（右）
1998.0,20代女性,45~49,女,148.0,握力（右）
1999.0,20代女性,25~29,女,199.0,握力（右）
2011.0,10代女性,35~39,女,143.0,握力（右）
2012.0,10代女性,40~44,女,126.0,握力（右）
2015.0,nan,45~49,女,120.0,握力（右）
1950.0,70代男性,50~54,男,164.0,握力（左）
1957.0,60代男性,35~39,男,165.0,握力（左）
1958.0,60代男性,30~34,男,164.0,握力（左）
1960.0,60代男性,45~49,男,170.0,握力（左）
1960.0,60代男性,65~69,男,167.0,握力（左）
1960.0,60代男性,45~49,男,174.0,握力（左）
1960.0,60代男性,50~54,男,173.0,握力（左）
1962.0,60代男性,50~54,男,173.0,握力（左）
1962.0,60代男性,45~49,男,170.0,握力（左）
1962.0,60代男性,40~44,男,166.0,握力（左）
1963.0,50代男性,30~34,男,170.0,握力（左）
1966.0,50代男性,50~54,男,175.0,握力（左）
1969.0,50代男性,20~24,男,171.5,握力（左）
1969.0,50代男性,50~54,男,167.0,握力（左）
1969.0,50代男性,45~49,男,177.0,握力（左）
1969.0,50代男性,40~44,男,170.0,握力（左）
1969.0,50代男性,30~34,男,172.0,握力（左）
1969.0,50代男性,50~54,男,158.0,握力（左）
1969.0,50代男性,35~39,男,168.0,握力（左）
1970.0,50代男性,35~39,男,167.0,握力（左）
1970.0,50代男性,55~59,男,171.0,握力（左）
1971.0,50代男性,20~24,男,173.0,握力（左）
1971.0,50代男性,35~39,男,160.0,握力（左）
1971.0,50代男性,25~29,男,180.0,握力（左）
1971.0,50代男性,50~54,男,167.0,握力（左）
1972.0,50代男性,25~29,男,171.0,握力（左）
1972.0,50代男性,30~34,男,172.0,握力（左）
1973.0,40代男性,FALSE,男,0.0,握力（左）
1974.0,40代男性,30~34,男,174.0,握力（左）
1974.0,40代男性,35~39,男,0.0,握力（左）
1974.0,40代男性,20~24,男,170.0,握力（左）
1974.0,40代男性,40~44,男,180.0,握力（左）
1974.0,40代男性,40~44,男,171.0,握力（左）
1975.0,40代男性,30~34,男,176.0,握力（左）
1975.0,40代男性,55~59,男,171.0,握力（左）
1975.0,40代男性,35~39,男,174.0,握力（左）
1976.0,40代男性,50~54,男,162.0,握力（左）
1976.0,40代男性,45~49,男,167.0,握力（左）
1977.0,40代男性,40~44,男,181.0,握力（左）
1977.0,40代男性,20~24,男,170.0,握力（左）
1979.0,40代男性,25~29,男,172.0,握力（左）
1979.0,40代男性,30~34,男,167.0,握力（左）
1979.0,40代男性,25~29,男,170.0,握力（左）
1979.0,40代男性,40~44,男,168.0,握力（左）
1980.0,40代男性,40~44,男,175.0,握力（左）
1980.0,40代男性,20~24,男,172.0,握力（左）
1980.0,40代男性,40~44,男,159.0,握力（左）
1981.0,40代男性,55~59,男,172.0,握力（左）
1981.0,40代男性,25~29,男,176.0,握力（左）
1981.0,40代男性,40~44,男,172.0,握力（左）
1982.0,40代男性,45~49,男,165.0,握力（左）
1982.0,40代男性,25~29,男,174.0,握力（左）
1982.0,40代男性,45~49,男,176.0,握力（左）
1982.0,40代男性,20~24,男,175.0,握力（左）
nan,40代男性,20~24,男,177.0,握力（左）
nan,40代男性,40~44,男,182.0,握力（左）
nan,40代男性,35~39,男,178.0,握力（左）
nan,40代男性,45~49,男,170.0,握力（左）
nan,40代男性,40~44,男,170.0,握力（左）
nan,40代男性,35~39,男,175.0,握力（左）
nan,40代男性,40~44,男,175.0,握力（左）
nan,40代男性,45~49,男,175.0,握力（左）
nan,30代男性,35~39,男,170.0,握力（左）
nan,30代男性,35~39,男,175.0,握力（左）
nan,30代男性,35~39,男,175.0,握力（左）
nan,30代男性,35~39,男,175.0,握力（左）
nan,30代男性,45~49,男,175.0,握力（左）
nan,30代男性,20~24,男,170.0,握力（左）
nan,30代男性,20~24,男,175.0,握力（左）
nan,30代男性,20~24,男,175.0,握力（左）
nan,30代男性,25~29,男,170.0,握力（左）
nan,30代男性,25~29,男,175.0,握力（左）
nan,30代男性,45~49,男,170.0,握力（左）
1983.0,30代男性,20~24,男,161.0,握力（左）
1983.0,30代男性,35~39,男,174.0,握力（左）
1983.0,30代男性,30~34,男,175.0,握力（左）
1984.0,30代男性,20~24,男,182.0,握力（左）
1985.0,30代男性,20~24,男,170.0,握力（左）
1985.0,30代男性,20~24,男,180.0,握力（左）
1985.0,30代男性,20~24,男,170.5,握力（左）
1986.0,30代男性,20~24,男,171.0,握力（左）
1986.0,30代男性,20~24,男,175.0,握力（左）
1987.0,30代男性,25~29,男,168.0,握力（左）
1988.0,30代男性,20~24,男,175.0,握力（左）
1988.0,30代男性,35~39,男,181.0,握力（左）
1988.0,30代男性,30~34,男,174.0,握力（左）
1988.0,30代男性,20~24,男,168.0,握力（左）
1989.0,30代男性,65~69,男,170.0,握力（左）
1989.0,30代男性,30~34,男,167.0,握力（左）
1990.0,30代男性,45~49,男,182.0,握力（左）
1990.0,30代男性,55~59,男,174.0,握力（左）
1991.0,30代男性,35~39,男,164.0,握力（左）
1991.0,30代男性,20~24,男,172.0,握力（左）
1991.0,30代男性,20~24,男,176.0,握力（左）
1992.0,30代男性,20~24,男,170.0,握力（左）
1992.0,30代男性,20~24,男,170.0,握力（左）
1992.0,30代男性,40~44,男,170.0,握力（左）
1992.0,30代男性,20~24,男,172.0,握力（左）
1993.0,20代男性,35~39,男,162.0,握力（左）
1993.0,20代男性,20~24,男,173.0,握力（左）
1993.0,20代男性,35~39,男,177.0,握力（左）
1994.0,20代男性,20~24,男,175.0,握力（左）
1994.0,20代男性,20~24,男,175.0,握力（左）
1994.0,20代男性,20~24,男,169.0,握力（左）
1994.0,20代男性,40~44,男,165.0,握力（左）
1994.0,20代男性,30~34,男,185.0,握力（左）
1995.0,20代男性,35~39,男,176.0,握力（左）
1995.0,20代男性,20~24,男,171.0,握力（左）
1995.0,20代男性,20~24,男,171.2,握力（左）
1995.0,20代男性,20~24,男,175.0,握力（左）
1995.0,20代男性,20~24,男,169.0,握力（左）
1996.0,20代男性,50~54,男,176.0,握力（左）
1996.0,20代男性,20~24,男,172.0,握力（左）
1996.0,20代男性,50~54,男,162.0,握力（左）
1996.0,20代男性,30~34,男,169.0,握力（左）
1996.0,20代男性,20~24,男,175.0,握力（左）
1997.0,20代男性,30~34,男,181.0,握力（左）
1999.0,20代男性,25~29,男,173.0,握力（左）
1999.0,20代男性,50~54,男,175.0,握力（左）
2000.0,20代男性,75~79,男,161.0,握力（左）
2000.0,20代男性,20~24,男,170.0,握力（左）
2000.0,20代男性,20~24,男,176.0,握力（左）
2001.0,20代男性,20~24,男,166.0,握力（左）
2001.0,20代男性,20~24,男,160.0,握力（左）
2001.0,20代男性,20~24,男,171.0,握力（左）
2005.0,10代男性,40~44,男,166.0,握力（左）
2008.0,10代男性,25~29,男,159.0,握力（左）
1963.0,50代女性,50~54,女,164.0,握力（左）
1963.0,50代女性,60~64,女,160.0,握力（左）
1964.0,50代女性,30~34,女,164.0,握力（左）
1965.0,50代女性,55~59,女,156.0,握力（左）
1965.0,50代女性,45~49,女,152.0,握力（左）
1965.0,50代女性,45~49,女,158.0,握力（左）
1965.0,50代女性,25~29,女,154.0,握力（左）
1965.0,50代女性,45~49,女,155.0,握力（左）
1965.0,50代女性,65~69,女,158.0,握力（左）
1966.0,50代女性,50~54,女,162.0,握力（左）
1966.0,50代女性,40~44,女,161.5,握力（左）
1967.0,50代女性,40~44,女,154.0,握力（左）
1967.0,50代女性,55~59,女,168.0,握力（左）
1967.0,50代女性,35~39,女,160.0,握力（左）
1967.0,50代女性,45~49,女,158.0,握力（左）
1967.0,50代女性,30~34,女,168.0,握力（左）
1967.0,50代女性,65~69,女,162.0,握力（左）
1967.0,50代女性,40~44,女,153.6,握力（左）
1968.0,50代女性,45~49,女,157.0,握力（左）
1968.0,50代女性,40~44,女,164.0,握力（左）
1969.0,50代女性,40~44,女,166.0,握力（左）
1969.0,50代女性,40~44,女,163.0,握力（左）
1969.0,50代女性,40~44,女,157.4,握力（左）
1969.0,50代女性,30~34,女,161.0,握力（左）
1969.0,50代女性,40~44,女,158.0,握力（左）
1969.0,50代女性,50~54,女,158.0,握力（左）
1969.0,50代女性,50~54,女,160.0,握力（左）
1969.0,50代女性,25~29,女,162.0,握力（左）
1970.0,50代女性,20~24,女,155.0,握力（左）
1970.0,50代女性,45~49,女,155.0,握力（左）
1970.0,50代女性,55~59,女,164.0,握力（左）
1970.0,50代女性,55~59,女,148.0,握力（左）
1970.0,50代女性,20~24,女,160.0,握力（左）
1970.0,50代女性,40~44,女,166.0,握力（左）
1970.0,50代女性,35~39,女,155.0,握力（左）
1970.0,50代女性,55~59,女,154.0,握力（左）
1970.0,50代女性,60~64,女,152.0,握力（左）
1970.0,50代女性,50~54,女,155.0,握力（左）
1970.0,50代女性,30~34,女,159.0,握力（左）
1970.0,50代女性,55~59,女,169.0,握力（左）
1970.0,50代女性,45~49,女,164.0,握力（左）
1970.0,50代女性,40~44,女,160.0,握力（左）
1971.0,50代女性,45~49,女,162.0,握力（左）
1971.0,50代女性,45~49,女,160.0,握力（左）
1971.0,50代女性,40~44,女,153.0,握力（左）
1971.0,50代女性,60~64,女,163.0,握力（左）
1971.0,50代女性,45~49,女,165.0,握力（左）
1971.0,50代女性,45~49,女,165.0,握力（左）
1971.0,50代女性,60~64,女,154.0,握力（左）
1971.0,50代女性,50~54,女,161.0,握力（左）
1971.0,50代女性,55~59,女,164.0,握力（左）
1971.0,50代女性,35~39,女,159.0,握力（左）
1971.0,50代女性,55~59,女,169.0,握力（左）
1971.0,50代女性,20~24,女,163.0,握力（左）
1971.0,50代女性,35~39,女,153.0,握力（左）
1971.0,50代女性,35~39,女,161.5,握力（左）
1971.0,50代女性,50~54,女,163.0,握力（左）
1971.0,50代女性,25~29,女,160.0,握力（左）
1971.0,50代女性,55~59,女,161.0,握力（左）
1972.0,50代女性,35~39,女,155.0,握力（左）
1972.0,50代女性,30~34,女,160.0,握力（左）
1972.0,50代女性,30~34,女,158.0,握力（左）
1972.0,50代女性,45~49,女,157.0,握力（左）
1972.0,50代女性,45~49,女,157.0,握力（左）
1972.0,50代女性,30~34,女,159.5,握力（左）
1972.0,50代女性,45~49,女,167.0,握力（左）
1972.0,50代女性,25~29,女,153.0,握力（左）
1972.0,50代女性,55~59,女,160.0,握力（左）
1972.0,50代女性,40~44,女,156.0,握力（左）
1972.0,50代女性,25~29,女,159.0,握力（左）
1972.0,50代女性,70~74,女,160.0,握力（左）
1972.0,50代女性,50~54,女,155.0,握力（左）
1972.0,50代女性,35~39,女,163.0,握力（左）
1972.0,50代女性,50~54,女,152.0,握力（左）
1972.0,50代女性,45~49,女,158.0,握力（左）
1972.0,50代女性,35~39,女,167.5,握力（左）
1972.0,50代女性,45~49,女,160.0,握力（左）
1972.0,50代女性,50~54,女,157.0,握力（左）
1973.0,40代女性,40~44,女,163.0,握力（左）
1973.0,40代女性,30~34,女,150.0,握力（左）
1973.0,40代女性,60~64,女,165.0,握力（左）
1973.0,40代女性,55~59,女,168.0,握力（左）
1973.0,40代女性,55~59,女,155.0,握力（左）
1973.0,40代女性,55~59,女,162.3,握力（左）
1973.0,40代女性,35~39,女,157.0,握力（左）
1973.0,40代女性,30~34,女,160.0,握力（左）
1973.0,40代女性,65~69,女,160.0,握力（左）
1973.0,40代女性,40~44,女,160.0,握力（左）
1973.0,40代女性,55~59,女,154.0,握力（左）
1973.0,40代女性,50~54,女,154.0,握力（左）
1973.0,40代女性,35~39,女,163.0,握力（左）
1974.0,40代女性,55~59,女,160.0,握力（左）
1974.0,40代女性,55~59,女,160.0,握力（左）
1974.0,40代女性,30~34,女,160.0,握力（左）
1974.0,40代女性,30~34,女,160.0,握力（左）
1974.0,40代女性,40~44,女,160.0,握力（左）
1974.0,40代女性,35~39,女,155.0,握力（左）
1974.0,40代女性,65~69,女,168.0,握力（左）
1974.0,40代女性,45~49,女,160.0,握力（左）
1974.0,40代女性,45~49,女,155.0,握力（左）
